YearMonthKey,ItemCode,ItemDescription,ItemCategory,ItemSize,TotalInventory,Price,StockValue,SnapshotDate
202509,24953,GROTH CABERNET 750ML,AMERICAN RED,750ML,0,82.99,0.0,2025-09-18
202509,171911,STONESTREET FOUNDERS EDITION BOURBON 750ML,STRAIGHT BOURBON WHISKEY,750ML,0,66.99,0.0,2025-09-18
202509,246354,DECOY FEATHERWEIGHT CHARDONNAY 750ML,AMERICAN WHITE,750ML,0,19.99,0.0,2025-09-18
202509,171080,VILLARINI GRILLO 750ML,ITALIAN WHITE WINE,750ML,0,17.99,0.0,2025-09-18
202509,171381,SIEMBRA ALTENO TEQUILA BLANCO 750ML,TEQUILA,750ML,0,87.99,0.0,2025-09-18
202509,300588,JACOBS CREEK MOSCATO - 750ML,AUSTRALIAN,750ML,0,9.99,0.0,2025-09-18
202509,337217,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,AMERICAN RED,750ML,0,54.99,0.0,2025-09-18
202509,169796,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,DOMESTIC VODKA FLAVORS,200ML,0,13.99,0.0,2025-09-18
202509,88812,STIRRINGS SIMPLE SYRUP - 12.0Z,NON-ALCOHOLIC MIXERS,12.0Z,270,4.99,1347.3,2025-09-18
202509,91436,MILAGRO ANEJO TEQUILA 375ML,TEQUILA,375ML,0,21.99,0.0,2025-09-18
202509,247987,CASTELLO DEL POGGIO PROSECCO - 750ML,SPARKLING,750ML,0,12.99,0.0,2025-09-18
202509,242102,FREEMARK ABBEY CHARD - 750ML,AMERICAN WHITE,750ML,258,36.99,9543.42,2025-09-18
202509,171217,MCCLINTOCK SPICED PEAR LIQUEUR - 750ML,DOMESTIC CORDIALS,750ML,0,23.99,0.0,2025-09-18
202509,574535,JUSTIN RESERVE CAB SAUV - 750ML,AMERICAN RED,750ML,0,62.99,0.0,2025-09-18
202509,310029,ZONIN PROSECCO - 750ML,SPARKLING,750ML,0,14.99,0.0,2025-09-18
202509,234798,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,AMERICAN RED,750ML,0,193.99,0.0,2025-09-18
202509,171700,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),SESSION RTD,4pk,0,17.99,0.0,2025-09-18
202509,346339,PLANTERAY PINEAPPLE RUM 750ML,IMPORTED RUM,750ML,0,42.99,0.0,2025-09-18
202509,171592,MINUTE MAID SPIKED VODKA PUNCH VAR PK 3/8PK 355ML (8-Pack),SESSION RTD,8pk,0,18.99,0.0,2025-09-18
202509,89027,BUZZBALLZ COCKTAILS BIGGIES BERRY CHERRY LIMEADE - 1.75L,LIQ BASED RTD,1.75L,0,19.99,0.0,2025-09-18
202509,91440,MILAGRO SILVER TEQUILA 375ML,TEQUILA,375ML,0,14.99,0.0,2025-09-18
202509,307368,TIAMO PROSECCO ORGANIC - 750ML,ITALIAN RED WINE,750ML,24,18.99,455.76,2025-09-18
202509,312776,ZONIN P/GRIG - 750ML,ITALIAN WHITE WINE,750ML,0,8.99,0.0,2025-09-18
202509,54121,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,IRISH WHISKEY,750ML,0,38.99,0.0,2025-09-18
202509,13844,LYON RUM TRIO 375ML,DOMESTIC RUM FLAVORS,375ML,0,54.99,0.0,2025-09-18
202509,43605,GRAND VENEUR CDR ROUGE - 750ML,RHONE RED WINE,750ML,72,18.99,1367.28,2025-09-18
202509,42597,WHISTLEPIG MAPLE SYRUP - 375ML,STORE SUPPLIES,375ML,0,19.99,0.0,2025-09-18
202509,171748,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),LIQ BASED RTD,8pk,0,27.99,0.0,2025-09-18
202509,351682,NONINO AMARO QUINTESSENTIA - 750ML,IMPORTED CORDIALS,750ML,0,56.99,0.0,2025-09-18
202509,54274,FALLEN OAK RYE - 750ML,STRAIGHT RYE WHISKEY,750ML,0,42.99,0.0,2025-09-18
202509,247768,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,WHITE BURGUNDY WINE,750ML,0,39.99,0.0,2025-09-18
202509,380476,FUYU JAPANESE WHISKY 6 PK - 750ML,BLENDED WHISKEY,750ML,0,49.99,0.0,2025-09-18
202509,241696,THE PRISONER CAB - 750ML,AMERICAN RED,750ML,288,52.99,15261.12,2025-09-18
202509,54250,DRAGON DISTILLERY FIGZILLA - 750ML,BLENDED WHISKEY,750ML,0,29.99,0.0,2025-09-18
202509,72663,NEW AMSTERDAM VODKA - PASSION FRUIT - 750ML,DOMESTIC VODKA FLAVORS,750ML,0,11.99,0.0,2025-09-18
202509,145837,CH D'ESCLANS WHISPERING ANGEL 375ML,FRANCE-OTHER,375ML,0,15.99,0.0,2025-09-18
202509,20120,CLANDESTINO KIWI PITORRO 750ML,DOMESTIC RUM,750ML,0,45.99,0.0,2025-09-18
202509,64297,TRAMBUSTI ORIGO SUPERTUSCAN 750ML,MISCELLANEOUS IMPORTED WINE,750ML,96,14.99,1439.04,2025-09-18
202509,408948,LA MARINA C' GASCOGNE CUV OCEANE - 750ML,SPARKLING,750ML,204,13.99,2853.96,2025-09-18
202509,232662,DOM BERTHET RAYNE CDR RGE 15 - 750ML,RHONE RED WINE,750ML,132,17.99,2374.68,2025-09-18
202509,355552,BREAD & BUTTER SAUVIGNON BLANC - 750ML (1 Bottle),AMERICAN WHITE,750ML,240,16.99,4077.5999999999995,2025-09-18
202509,54303,HOGNOSE LIMONCELLO - 750ML,DOMESTIC CORDIALS,750ML,0,18.99,0.0,2025-09-18
202509,380501,RAMPUR ASAVA - 750ML,MISCELLANEOUS IMPORTED SPIRITS,750ML,0,94.99,0.0,2025-09-18
202509,349291,HAKUSHIKA SNOW BEAUTY NIGORI - 300ML,MISCELLANEOUS IMPORTED WINE,300ML,96,17.99,1727.04,2025-09-18
202509,326145,ARCENO STRADO AL SASSO - 750ML,ITALIAN RED WINE,750ML,0,73.99,0.0,2025-09-18
202509,378983,ANAKOTA HELENA DAKOTA VYD K/V CAB 19 - 750ML,AMERICAN RED,750ML,0,254.99,0.0,2025-09-18
202509,10113,TRUE RESPITE HAZY 2X/3X IPA SERIES 6/4 16OZ CANS - 16.0Z (4-Pack),DOMESTIC CAN BEER,4pk,0,19.99,0.0,2025-09-18
202509,18358,COPPOLA DIRECT CUT SONOMA COAST CHARD 750ML,AMERICAN RED,750ML,0,21.99,0.0,2025-09-18
202509,29893,EVOLUTION VARIETY 2/12 NR - 12.0Z (12-Pack),DOMESTIC BOTTLE BEER,12pk,0,19.19,0.0,2025-09-18
202509,90908,GRAN CORAMINO REPOSADO TEQUILA 375ML,TEQUILA,375ML,0,22.99,0.0,2025-09-18
202509,81777,YELLOW TAIL SUPER CRISP CHARD - 1.5L,AUSTRALIAN,1.5L,150,13.99,2098.5,2025-09-18
202509,242214,NOBLE OAK RYE WHISKEY - 750ML,STRAIGHT RYE WHISKEY,750ML,0,39.99,0.0,2025-09-18
202509,42646,MCCLINTOCK COFFEE LIQUEUR - 750ML,DOMESTIC CORDIALS,750ML,0,33.99,0.0,2025-09-18
202509,70106,DON FULANO TEQUILA REPOSADO - 750ML,TEQUILA,750ML,114,67.99,7750.86,2025-09-18
202509,380099,GREENALL'S GIN & SODA SICILIAN LEMON RTD 6/4 CANS - 12.0Z (4-Pack),SESSION RTD,4pk,0,13.99,0.0,2025-09-18
202509,166849,SUTTER HOME FRUIT INFUSION BERRY 6/1.5L,AMERICAN BLUSH,1.5L,0,14.99,0.0,2025-09-18
202509,19169,SILVER BRANCH COSMIC SERIES 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,14.99,0.0,2025-09-18
202509,236226,OLE SMOKY MOONSHINE HUNCH PUNCH - 50ML,DOMESTIC LIQUOR SPECIALTY,50ML,0,3.89,0.0,2025-09-18
202509,91658,1800 BLANCO TEQUILA 375ML,TEQUILA FLAVORS,375ML,0,19.99,0.0,2025-09-18
202509,247443,CH PHELAN SEGUR ST-ESTEPHE 19 RED - 750ML,RED BORDEAUX WINE,750ML,0,80.99,0.0,2025-09-18
202509,240571,MONTEFRESCO PROSECCO NV - 750ML,ITALIAN WHITE WINE,750ML,0,13.99,0.0,2025-09-18
202509,68890,DC BRAU FULL TRANSPARENCY MANGO 4/6 CANS - 12.0Z (6-Pack),MALT BASED SELTZER,6pk,0,8.58,0.0,2025-09-18
202509,247549,PANTALONES BLANCO TEQ ORG - 750ML,TEQUILA,750ML,0,46.99,0.0,2025-09-18
202509,310331,LA JOTA HOWELL MTN MER - 750ML,AMERICAN RED,750ML,0,132.99,0.0,2025-09-18
202509,81764,BAREFOOT CEL W/ZIN - 187ML,AMERICAN BLUSH,187ML,288,1.99,573.12,2025-09-18
202509,236348,CAPRICCIO BUBBLY SANGRIA RED - 750ML,AMERICAN RED,750ML,0,10.99,0.0,2025-09-18
202509,81016,BAREFOOT CEL ROSE - 750ML,AMERICAN BLUSH,750ML,228,7.99,1821.72,2025-09-18
202509,89042,GLENDALOUGH 7YR IRISH SINGLE MALT WHISKEY - 750ML,SINGLE MALT IRISH WHISKEY,750ML,0,87.99,0.0,2025-09-18
202509,89731,LOLLI SWEET RED - 750ML,AMERICAN RED,750ML,0,10.99,0.0,2025-09-18
202509,313422,FAMILIA ZUCCARDI Q CHARD - 750ML (1 Bottle),ARGENTINA,750ML,0,23.99,0.0,2025-09-18
202509,380581,BLOSSOM CINNAMON ESPRESSO MARTINI RTD 6/4 CANS - 12.0Z (4-Pack),LIQ BASED RTD,4pk,0,17.99,0.0,2025-09-18
202509,238109,FOUR ROSES SMALL BATCH SELECT 104P BOURB- 750ML (1 Bottle),STRAIGHT BOURBON WHISKEY,750ML,48,56.99,2735.52,2025-09-18
202509,82100,CUPCAKE CENTRAL COAST MERLOT - 750ML,AMERICAN RED,750ML,228,14.99,3417.7200000000003,2025-09-18
202509,86207,CARLO ROSSI RHINE - 4L,AMERICAN TABLE WINE,4L,36,19.99,719.64,2025-09-18
202509,86445,FRANZIA P/GRIG COL - 5L,AMERICAN WHITE,5L,0,24.99,0.0,2025-09-18
202509,40291,MICHTERS USI S/B RYE WHISKEY - 750ML,STRAIGHT RYE WHISKEY,750ML,78,55.99,4367.22,2025-09-18
202509,58025,BAILEYS IRISH CREAM W/GLASSES - 750ML,IMPORTED CORDIALS,750ML,1050,31.99,33589.5,2025-09-18
202509,238074,BELLE ISLE PREM MOONSHINE BLOOD ORANGE - 750ML,DOMESTIC LIQUOR SPECIALTY,750ML,0,22.99,0.0,2025-09-18
202509,241122,MCCLINTOCK ORO VODKA CUCUMBER/LIME INFUSED - 750ML,DOMESTIC VODKA FLAVORS,750ML,0,27.99,0.0,2025-09-18
202509,300615,ABSOLUT LIME - 750ML,IMPORTED VODKA FLAVORS,750ML,84,24.99,2099.16,2025-09-18
202509,333560,BANSHEE MORDECAI RED - 750ML,AMERICAN RED,750ML,0,24.99,0.0,2025-09-18
202509,36250,ABSOLUT VODKA - CITRON - 1.75L,IMPORTED VODKA FLAVORS,1.75L,102,44.99,4588.9800000000005,2025-09-18
202509,370028,WOLFFER SUMMER IN A BOTTLE ROSE PROV - 750ML,FRENCH BLUSH,750ML,132,30.99,4090.68,2025-09-18
202509,91339,EMPRESS 1908 INDIGO GIN 1.75L,MISCELLANEOUS IMPORTED SPIRITS,1.75L,0,81.99,0.0,2025-09-18
202509,79740,CINZANO VERMOUTH ROSSO RED BLEND - 750ML,VERMOUTH,750ML,0,11.99,0.0,2025-09-18
202509,45085,LINGANORE BLACKBERRY - 750ML,AMERICAN RED,750ML,72,13.99,1007.28,2025-09-18
202509,88429,BAREFOOT CEL STRAWBERRY FRUITSCATO - 750ML,AMERICAN WHITE,750ML,84,7.99,671.16,2025-09-18
202509,238580,SCACCIADIAVOLI MONTEFALCO GRECHETTO - 750ML,ITALIAN WHITE WINE,750ML,0,15.99,0.0,2025-09-18
202509,70808,WHISTLEPIG OLD WORLD 12YR RYE - 750ML,STRAIGHT RYE WHISKEY,750ML,0,180.99,0.0,2025-09-18
202509,88215,DOM GALUVAL CDR VILL PLAN DE DIEU - 750ML (1 Bottle),FRANCE-OTHER,750ML,0,22.99,0.0,2025-09-18
202509,232822,MAISON FABRE C'PROV SERPOLET ROSE - 750ML,FRENCH BLUSH,750ML,264,19.99,5277.36,2025-09-18
202509,18486,BEER FARM BAY LIGHT LAGER 1/15PK CANS - 12.0Z,DOMESTIC CAN BEER,12.0Z,0,22.99,0.0,2025-09-18
202509,153125,BULLY HILL SWEET WALTER RED - 750ML,AMERICAN RED,750ML,168,12.99,2182.32,2025-09-18
202509,72429,DEEP EDDY LEMON VODKA & SODA - RTD - 12.0Z (4-Pack),SESSION RTD,4pk,312,15.99,4988.88,2025-09-18
202509,54190,MASH & MALLOW S'MORES WHISKEY - 750ML,DOMESTIC LIQUOR SPECIALTY,750ML,0,30.99,0.0,2025-09-18
202509,32000,BEEFEATER GIN - 1L,IMPORTED GIN,1L,252,30.99,7809.48,2025-09-18
202509,246306,REDEMPTION SUR LEE 750ML,STRAIGHT RYE WHISKEY,750ML,0,48.99,0.0,2025-09-18
202509,307882,HAKUTSURU SUPERIOR SAKE JUNMAI - 720ML,ASIAN,720ML,42,22.99,965.5799999999999,2025-09-18
202509,54436,MUFF IRISH GIN  - 700ML,IMPORTED GIN,700ML,0,29.99,0.0,2025-09-18
202509,235324,ANAKOTA HELENA MONTANA VYD K/V CAB 14 - 750ML,AMERICAN RED,750ML,0,254.99,0.0,2025-09-18
202509,69111,7 LOCKS GRUBBY THICKET 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,15.99,0.0,2025-09-18
202509,51071,BAILEYS IRISH CREAM - 1L,IMPORTED CORDIALS,1L,624,39.99,24953.760000000002,2025-09-18
202509,238976,HICKINBOTHAM BROOKS RD SHIRAZ - 750ML,AUSTRALIAN,750ML,0,82.99,0.0,2025-09-18
202509,44493,ORIN SWIFT PAPILLON - 750ML,AMERICAN RED,750ML,0,81.99,0.0,2025-09-18
202509,16347,CLANDESTINO COFFEE 200ML,DOMESTIC RUM,200ML,0,21.99,0.0,2025-09-18
202509,76760,LARCENY BOURBON W/ICE MOLD  - 750ML,STRAIGHT BOURBON WHISKEY,750ML,0,26.99,0.0,2025-09-18
202509,171393,MUMMS NAPA PRESTIGE BRUT 750ML,SPARKLING,750ML,0,25.99,0.0,2025-09-18
202509,232156,ALCANCE VIGNO CARIGNAN - 750ML,CHILE,750ML,0,48.99,0.0,2025-09-18
202509,232008,BODEGAS TONEL 46 RES MALB - 750ML,ARGENTINA,750ML,96,19.99,1919.04,2025-09-18
202509,12556,WILD TURKEY 81 - 750ML,STRAIGHT BOURBON WHISKEY,750ML,180,22.99,4138.2,2025-09-18
202509,237320,MEURGEY-CROSES MACON-UCHIZY VIN DE BOURG WHITE - 750ML,WHITE BURGUNDY WINE,750ML,0,28.99,0.0,2025-09-18
202509,42997,LOOK APPLE VODKA - 750ML,DOMESTIC VODKA,750ML,0,24.99,0.0,2025-09-18
202509,246104,BALTIMORE SPIRITS EPOCH RYE RESERVE 750ML,STRAIGHT RYE WHISKEY,750ML,0,58.99,0.0,2025-09-18
202509,237430,TERRA COSTANTINO DE AETNA ETNA ROSSO - 750ML,ITALIAN RED WINE,750ML,0,28.99,0.0,2025-09-18
202509,88603,RUM CHATA ORIGINAL - 750ML (1 Bottle),DOMESTIC CORDIALS,750ML,24,25.99,623.76,2025-09-18
202509,72664,NEW AMSTERDAM VODKA - PASSION FRUIT - 50ML,DOMESTIC VODKA,50ML,720,1.09,784.8000000000001,2025-09-18
202509,89243,HEUBLEIN MARGARITA W/ CORAZON TEQ - 375ML,LIQ BASED RTD,375ML,0,8.99,0.0,2025-09-18
202509,79380,ILEGAL JOVEN MEZCAL - 750ML,TEQUILA,750ML,510,34.99,17844.9,2025-09-18
202509,76567,CLASE AZUL TEQUILA - PLATA - 750ML,TEQUILA,750ML,0,178.99,0.0,2025-09-18
202509,79359,TAITTINGER BRUT LA FRANCAISE - 750ML,CHAMPAGNE,750ML,60,67.99,4079.3999999999996,2025-09-18
202509,44916,A TO Z OREGON P/GRIS - 750ML,AMERICAN WHITE,750ML,72,18.99,1367.28,2025-09-18
202509,297259,MASTER OF MIXES COCKTAIL ESSENTIALS PEACH 375ML,NON-ALCOHOLIC MIXERS,375ML,0,3.99,0.0,2025-09-18
202509,15318,CROWN ROYAL - 375ML,CANADIAN WHISKEY,375ML,264,16.99,4485.36,2025-09-18
202509,17753,JOSE CUERVO AUTHENTIC RASPBERRY COLADA MARG 1.75L,PRE-MIX COCKTAILS,1.75L,0,14.99,0.0,2025-09-18
202509,367064,LAURENT PERRIER BRUT ROSE - 750ML,CHAMPAGNE,750ML,0,129.99,0.0,2025-09-18
202509,327070,VINA SIEGEL 1234 RED - 750ML,CHILE,750ML,0,10.99,0.0,2025-09-18
202509,79510,MARTINI & ROSSI SWEET VERMOUTH - 1L,VERMOUTH,1L,0,19.99,0.0,2025-09-18
202509,297285,MASTER OF MIXES MOJITO 1.75L,NON-ALCOHOLIC MIXERS,1.75L,0,8.99,0.0,2025-09-18
202509,439037,LUCA MENDOZA MAL - 750ML,ARGENTINA,750ML,0,37.99,0.0,2025-09-18
202509,380723,BLUE NOTE RYE WHISKEY 6/750ML,BLENDED WHISKEY,750ML,0,39.99,0.0,2025-09-18
202509,358878,CADE S/BLC - 750ML,AMERICAN WHITE,750ML,0,56.99,0.0,2025-09-18
202509,247633,HAMPTON WATER ROSE BUBBLY - 750ML,SPARKLING,750ML,0,33.99,0.0,2025-09-18
202509,166662,AGALIMA SWEET & SOUR MIX - 1L,NON-ALCOHOLIC MIXERS,1L,336,10.99,3692.64,2025-09-18
202509,54294,ROMAN CLARKE VIOGNIER - 750ML,AMERICAN WHITE,750ML,0,22.99,0.0,2025-09-18
202509,350054,FIT VINE ROSE - 750ML,AMERICAN BLUSH,750ML,0,18.99,0.0,2025-09-18
202509,237807,REDWOOD EMPIRE LOST MONARCH BLEND STRAIGHT WHISKEYS - 750ML,BLENDED WHISKEY,750ML,114,39.99,4558.860000000001,2025-09-18
202509,297305,GIN LANE 1751 LONDON DRY GIN - 750ML,MISCELLANEOUS IMPORTED SPIRITS,750ML,0,33.99,0.0,2025-09-18
202509,241478,99 SCHNAPPS BIRTHDAY BUCKET - 21PK/50ML (21-Pack),DOMESTIC LIQUOR SPECIALTY,21pk,0,22.89,0.0,2025-09-18
202509,74989,CROWN ROYAL - APPLE - 1.75L,CANADIAN WHISKEY,1.75L,0,54.99,0.0,2025-09-18
202509,79986,WOODFORD RES DOUBLE OAK BOURBON - 750ML,STRAIGHT BOURBON WHISKEY,750ML,222,58.99,13095.78,2025-09-18
202509,84307,EDNA VALLEY P/NOIR - 750ML,AMERICAN RED,750ML,156,16.99,2650.4399999999996,2025-09-18
202509,27359,GLENLIVET DOUBLE OAK 12YR - 1.75L,SINGLE MALT SCOTCH,1.75L,138,113.99,15730.619999999999,2025-09-18
202509,28231,JOHNNIE WALKER RED - 1.75L,IMPORTED SCOTCH,1.75L,564,44.99,25374.36,2025-09-18
202509,47872,BARKAN CLASSIC P/NOIR - 750ML,KOSHER,750ML,492,14.99,7375.08,2025-09-18
202509,367960,CANPAGNE ROSE CAN - 355ML,WINE CANS,355ML,0,5.99,0.0,2025-09-18
202509,247463,TOST SPARK WHITE NA - 750ML,NON-ALCOHOLIC WINE,750ML,0,9.99,0.0,2025-09-18
202509,117,WHISKEY TASTING JOURNAL - BAG,STORE SUPPLIES,BAG,200,4.99,998.0,2025-09-18
202509,51705,EDNA VALLEY MER - 750ML,AMERICAN RED,750ML,0,14.99,0.0,2025-09-18
202509,372072,REAL PEACH INFUSED SYRUP 50ML - 500ML,NON-ALCOHOLIC MIXERS,500ML,0,6.99,0.0,2025-09-18
202509,79503,JAMESON COLD BREW - 750ML,IRISH WHISKEY,750ML,0,29.99,0.0,2025-09-18
202509,43988,SANTA TERESA 1796 ANTIQUA - 750ML,IMPORTED RUM,750ML,210,47.99,10077.9,2025-09-18
202509,248113,CLUTCH VODKA - 1.75L,DOMESTIC VODKA,1.75L,0,28.99,0.0,2025-09-18
202509,244014,POST MERIDIEM OLD FASHIONED - 24/100ML,LIQ BASED RTD,100ML,888,4.99,4431.12,2025-09-18
202509,83602,EDNA VALLEY P/GRIG - 750ML,AMERICAN WHITE,750ML,84,14.99,1259.16,2025-09-18
202509,337509,CROWN ROYAL APPLE - 50ML,CANADIAN WHISKEY,50ML,780,2.79,2176.2,2025-09-18
202509,236196,CASAMIGOS TEQUILA MEZCAL - 750ML,TEQUILA,750ML,132,58.99,7786.68,2025-09-18
202509,41840,VAN GOGH VODKA - CHOCOLATE - 750ML,IMPORTED VODKA FLAVORS,750ML,0,23.99,0.0,2025-09-18
202509,80091,ALMADEN MOSCATO - 5L,AMERICAN WHITE,5L,0,23.99,0.0,2025-09-18
202509,247415,XXL CALI EXTREME 21 RED MOSCATO - 750ML,AMERICAN RED,750ML,144,18.99,2734.56,2025-09-18
202509,76753,RUM CHATA - PINEAPPLE - 750ML (1 Bottle),DOMESTIC CORDIALS,750ML,0,25.99,0.0,2025-09-18
202509,77744,DEVILS BACKBONE 8 POINT AMERICAN IPA 4/6CN - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,12.99,0.0,2025-09-18
202509,141143,WAIRAU RIVER MARL S/BL - 750ML,NEW ZEALAND,750ML,204,17.99,3669.9599999999996,2025-09-18
202509,76317,CABO WABO BLANCO TEQUILA 80 - 750ML (1 Bottle),TEQUILA,750ML,0,34.99,0.0,2025-09-18
202509,22578,CORBETT CANYON CHARD - 3L,AMERICAN WHITE,3L,54,20.99,1133.4599999999998,2025-09-18
202509,427228,FRENZY S/BLC 750ML,NEW ZEALAND,750ML,480,19.99,9595.199999999999,2025-09-18
202509,54457,BAILEYS CHOCOLATE - 50ML,IMPORTED CORDIALS,50ML,0,3.99,0.0,2025-09-18
202509,362158,LOUIS LATOUR P/NOIR DOM VALMOI - 750ML,RED BURGUNDY WINE,750ML,0,22.99,0.0,2025-09-18
202509,12203,OLD CROW BOURBON - 1.75L,STRAIGHT BOURBON WHISKEY,1.75L,228,16.99,3873.72,2025-09-18
202509,29696,KETEL ONE VODKA - 50ML,IMPORTED VODKA,50ML,0,2.69,0.0,2025-09-18
202509,43561,ABERLOUR CASG ANNAMH BATCH 001 - 750ML,SINGLE MALT SCOTCH,750ML,0,58.99,0.0,2025-09-18
202509,86277,19 CRIMES SEA SHZ - 750ML,AUSTRALIAN,750ML,360,12.99,4676.4,2025-09-18
202509,42474,BUZZBALLZ COCKTAILS STRAWBERRY 'RITA - 200ML,LIQ BASED RTD,200ML,0,3.99,0.0,2025-09-18
202509,89648,GALLO SWEET VERMOUTH - 750ML,VERMOUTH,750ML,96,7.99,767.04,2025-09-18
202509,367522,AVANTIS SAUVIGNON BLANC - 750ML,GREEK,750ML,0,17.99,0.0,2025-09-18
202509,73540,GREEN SPOT IRISH WHISKEY - 750ML,IRISH WHISKEY,750ML,60,56.99,3419.4,2025-09-18
202509,82589,R STRONG SONOMA CHARD - 750ML,AMERICAN WHITE,750ML,24,15.99,383.76,2025-09-18
202509,63045,CH GREYSAC MEDOC EDV - 750ML,RED BORDEAUX WINE,750ML,0,33.99,0.0,2025-09-18
202509,377663,CLUTCH VODKA - 750ML,DOMESTIC VODKA,750ML,0,16.99,0.0,2025-09-18
202509,247165,CLIFF LEDE RHYTHM CAB SAUV SLD N/V - 750ML,AMERICAN RED,750ML,0,146.99,0.0,2025-09-18
202509,88642,CROWN ROYAL - PEACH - 50ML,CANADIAN WHISKEY,50ML,0,2.79,0.0,2025-09-18
202509,307622,MURPHY GOODE P/NOIR - 750ML,AMERICAN RED,750ML,528,14.99,7914.72,2025-09-18
202509,251036,YUKON JACK 100PF LIQUEUR - 50ML,DOMESTIC LIQUOR SPECIALTY,50ML,840,1.09,915.6,2025-09-18
202509,377456,XXL MANGO MOSCATO - 750ML,MISCELLANEOUS IMPORTED WINE,750ML,72,13.99,1007.28,2025-09-18
202509,297340,ALTESINO BRUNELLO DI MONTALCINO - 12/750ML,ITALIAN RED WINE,750ML,0,82.99,0.0,2025-09-18
202509,42260,ON THE ROCKS LARIOS AVIATION RTD - 375ML,LIQ BASED RTD,375ML,384,12.99,4988.16,2025-09-18
202509,333972,OYSTER BAY CHARD - 750ML,NEW ZEALAND,750ML,96,17.99,1727.04,2025-09-18
202509,52062,BENRIACH SINGLE MALT - THE TWELVE - 750ML,SINGLE MALT SCOTCH,750ML,0,70.99,0.0,2025-09-18
202509,43806,GEKKEIKAN BLACK & GOLD SAKE - 750ML,ASIAN,750ML,150,21.99,3298.4999999999995,2025-09-18
202509,18425,ROSIE CHEEKS CAMPFIRE 750ML,DOMESTIC LIQUOR SPECIALTY,750ML,0,34.99,0.0,2025-09-18
202509,16519,TRES GENERACIONES ANEJO 750ML,TEQUILA,750ML,150,48.99,7348.5,2025-09-18
202509,35408,SMIRNOFF VODKA - ORANGE TW - 1L,DOMESTIC VODKA FLAVORS,1L,0,17.99,0.0,2025-09-18
202509,171394,SEACRETS LTD RELEASE AMERICAN WHISKEY 750ML,BLENDED WHISKEY,750ML,0,59.99,0.0,2025-09-18
202509,14117,CHOPIN VODKA - 750ML,IMPORTED VODKA,750ML,102,29.99,3058.98,2025-09-18
202509,54483,JOHN BARR BLEND - 1.75L,BLENDED WHISKEY,1.75L,72,29.99,2159.2799999999997,2025-09-18
202509,51420,BAILEYS IRISH CREAM - 50ML,IMPORTED CORDIALS,50ML,2240,3.49,7817.6,2025-09-18
202509,41663,MOLLY DOOKER THE BOXER SHZ - 750ML,AUSTRALIAN,750ML,0,37.99,0.0,2025-09-18
202509,380500,RAMPUR DOUBLE CASK - 750ML,MISCELLANEOUS IMPORTED SPIRITS,750ML,0,94.99,0.0,2025-09-18
202509,44918,PAUL NEWMAN CHARD - 750ML,AMERICAN WHITE,750ML,0,14.99,0.0,2025-09-18
202509,88210,BOISSY & DELAYGUE L PONTIAS CDR RGE - 750ML (1 Bottle),FRANCE-OTHER,750ML,816,13.99,11415.84,2025-09-18
202509,379927,ROSE GOLD PROVENCE ROSE - 750ML,FRENCH WHITE WINE,750ML,204,22.99,4689.96,2025-09-18
202509,170939,KOLOA KAUAI COCONUT RUM 750ML,DOMESTIC RUM FLAVORS,750ML,0,40.99,0.0,2025-09-18
202509,241316,WOODBRIDGE CABERNET SAUVIGNON GO PACK - 500ML,AMERICAN TABLE WINE,500ML,0,5.99,0.0,2025-09-18
202509,18607,TENTH WARD QUEEN BEE'S KNEES RTD 6/4 CANS - 250ML (4-Pack),SESSION RTD,4pk,0,12.99,0.0,2025-09-18
202509,246203,BV RUTHERFORD CAB RESERVE - 750ML,AMERICAN RED,750ML,0,72.99,0.0,2025-09-18
202509,317022,STELLAR ORGANICS CAB - 750ML,SOUTH AFRICAN,750ML,228,10.99,2505.7200000000003,2025-09-18
202509,71565,NEW AMSTERDAM LONDON DRY GIN (GREEN LABEL) -750ML,IMPORTED GIN,750ML,24,17.99,431.76,2025-09-18
202509,30457,GORDON'S GIN - 1L,DOMESTIC GIN,1L,108,16.99,1834.9199999999998,2025-09-18
202509,80178,BERINGER RED MOSCATO - 1.5L,AMERICAN RED,1.5L,0,17.99,0.0,2025-09-18
202509,80233,TAYLOR TAWNY PORT - 1.5L,PORT,1.5L,66,15.99,1055.34,2025-09-18
202509,41149,REMY MARTIN VSOP - 750ML,COGNAC,750ML,528,56.99,30090.72,2025-09-18
202509,166346,GNARLY HEAD 1924 BLACK CABERNET SAUVIGNON - 750ML,AMERICAN RED,750ML,384,12.99,4988.16,2025-09-18
